,File,atom,nbo_charge,nmr_shielding,neut_nat,neut_cm5,neut_mulliken,neut_hirsfeld,ox_nat,ox_cm5,ox_mulliken,ox_hirsfeld,red_nat,red_cm5,red_mulliken,red_hirsfeld
0,Ac2_rdkit_conf_1,0,-0.64011,159.2823,-0.64011,-0.238813,-0.45413,-0.094279,-0.641,-0.229129,-0.443443,-0.084595,-0.66879,-0.262997,-0.200485,-0.118463
1,Ac2_rdkit_conf_1,1,0.26993,103.9437,0.26993,0.08683,0.106745,0.096909,0.27047,0.091064,0.038282,0.101143,0.25143,0.080247,0.106029,0.090326
2,Ac2_rdkit_conf_1,2,-0.64001,159.4153,-0.64001,-0.238459,-0.449857,-0.09389,-0.64337,-0.227684,-0.435816,-0.083115,-0.6508,-0.256413,-0.318128,-0.111843
3,Ac2_rdkit_conf_1,3,-0.60978,152.7146,-0.60978,-0.234215,-0.405068,-0.089689,-0.6174,-0.225288,-0.393161,-0.080762,-0.63411,-0.257528,-0.227621,-0.113001
4,Ac2_rdkit_conf_1,4,-0.5328,119.9874,-0.5328,-0.207867,-0.303118,-0.136969,-0.47681,-0.168984,-0.249965,-0.098086,-0.52968,-0.229842,-0.191177,-0.158944
5,Ac2_rdkit_conf_1,5,0.90343,16.2662,0.90343,0.353718,0.536931,0.227903,0.84498,0.38525,0.500341,0.259436,0.88442,0.320885,0.266523,0.19507
6,Ac2_rdkit_conf_1,6,-0.66012,-15.8890,-0.66012,-0.338861,-0.414606,-0.288422,-0.504,-0.234305,-0.279985,-0.183867,-0.68556,-0.37196,-0.414724,-0.321521
7,Ac2_rdkit_conf_1,7,-0.62889,162.8886,-0.62889,-0.465627,-0.384289,-0.110682,-0.26019,-0.259874,-0.125904,0.095071,-0.65576,-0.502561,-0.152504,-0.147615
8,Ac2_rdkit_conf_1,8,-0.32847,140.2353,-0.32847,-0.034808,-0.215404,0.000932,-0.36421,0.008855,-0.226507,0.044594,-0.3596,-0.073779,0.246894,-0.03804
9,Ac2_rdkit_conf_1,9,0.78308,-1.2955,0.78308,0.264049,0.345348,0.210377,0.79266,0.314902,0.369407,0.26123,0.7686,0.223831,-0.022848,0.170159
10,Ac2_rdkit_conf_1,10,-0.5867,-138.4408,-0.5867,-0.334814,-0.315448,-0.284018,-0.39704,-0.190222,-0.154095,-0.139426,-0.63511,-0.385844,-0.333473,-0.335048
11,Ac2_rdkit_conf_1,11,-0.68706,112.8534,-0.68706,-0.370356,-0.407103,-0.175881,-0.64786,-0.324456,-0.368109,-0.129982,-0.70308,-0.42291,-0.259857,-0.228435
