species,atom,npa_charge,wiberg_total,nmr_shielding,cm5_charge,hirshfeld_charge,ox_npa_charge,ox_cm5_charge,ox_hirshfeld_charge,red_npa_charge,red_cm5_charge,red_hirshfeld_charge,fukui_plus,fukui_minus,fukui_rad
Ac4_rdkit_conf_1,0,-0.2566,3.7844,131.1287,-0.113471,0.008936,-0.2876,-0.082223,0.040184,-0.24641,-0.132264,-0.009857,-0.018792999999999997,-0.031247999999999998,0.012455
Ac4_rdkit_conf_1,1,-0.44212,2.2082,213.6728,-0.206318,-0.116298,-0.27201,-0.08709,0.002931,-0.45855,-0.225318,-0.135297,-0.018999000000000002,-0.119229,0.10023
Ac4_rdkit_conf_1,2,0.3537,3.9271,2.9260,0.11231,0.091229,0.42203,0.186615,0.165534,0.30887,0.065185,0.044104,-0.04712500000000001,-0.07430499999999998,0.027179999999999975
Ac4_rdkit_conf_1,3,-0.3165,3.9534,58.9584,-0.119167,-0.06663,-0.20956,-0.041469,0.011068,-0.36608,-0.180238,-0.127701,-0.061071000000000014,-0.07769799999999999,0.016626999999999975
Ac4_rdkit_conf_1,4,-0.15967,3.9628,30.0019,-0.083356,-0.027473,-0.16373,-0.028485,0.027398,-0.36363,-0.202696,-0.146813,-0.11934,-0.054871,-0.064469
Ac4_rdkit_conf_1,5,-0.25573,3.9593,48.9585,-0.111882,-0.055841,-0.01478,0.027945,0.083985,-0.2488,-0.164318,-0.108277,-0.052435999999999997,-0.139826,0.08739000000000001
Ac4_rdkit_conf_1,6,-0.14155,3.9538,29.8936,-0.079428,-0.027792,-0.15211,-0.029059,0.022577,-0.26113,-0.162487,-0.110851,-0.08305900000000001,-0.050369,-0.03269000000000001
Ac4_rdkit_conf_1,7,-0.23074,3.9995,51.6343,-0.031991,-0.033787,-0.11214,0.037681,0.035884,-0.32439,-0.101524,-0.10332,-0.069533,-0.069671,0.00013799999999999923
Ac4_rdkit_conf_1,8,0.7775,3.8456,8.7587,0.259267,0.203492,0.74971,0.275267,0.219492,0.68952,0.16892,0.113144,-0.09034800000000001,-0.015999999999999986,-0.07434800000000003
Ac4_rdkit_conf_1,9,-0.57121,2.0407,-149.4832,-0.327498,-0.280097,-0.50897,-0.2771,-0.229699,-0.70257,-0.442114,-0.394713,-0.114616,-0.050398,-0.064218
Ac4_rdkit_conf_1,10,-0.69686,1.942,115.8028,-0.381336,-0.182091,-0.67676,-0.356778,-0.157533,-0.7332,-0.428152,-0.228906,-0.046814999999999996,-0.024557999999999996,-0.022257
Ac4_rdkit_conf_1,11,0.17349,0.972,28.3825,0.098119,0.038315,0.21193,0.130546,0.070741,0.15745,0.07989,0.020086,-0.018229000000000002,-0.032425999999999996,0.014196999999999994
Ac4_rdkit_conf_1,12,0.17293,0.9722,28.4109,0.097542,0.037771,0.21158,0.130176,0.070404,0.15684,0.079221,0.01945,-0.018321,-0.032632999999999995,0.014311999999999995
Ac4_rdkit_conf_1,13,0.20434,0.9589,27.7626,0.114886,0.053515,0.24267,0.147452,0.086081,0.17649,0.091314,0.029943,-0.023572,-0.032566000000000005,0.008994000000000005
Ac4_rdkit_conf_1,14,0.22171,0.9524,24.4495,0.101023,0.040492,0.25454,0.139102,0.078571,0.18673,0.064019,0.003488,-0.037004,-0.038079,0.0010749999999999996
Ac4_rdkit_conf_1,15,0.21522,0.9546,23.7322,0.104409,0.048206,0.25718,0.144436,0.088233,0.17625,0.044501,-0.011702,-0.059908,-0.04002700000000001,-0.019880999999999996
Ac4_rdkit_conf_1,16,0.21899,0.9528,24.3711,0.10076,0.044496,0.25181,0.154931,0.098668,0.18093,0.061642,0.005378,-0.039118,-0.054172000000000005,0.015054000000000005
Ac4_rdkit_conf_1,17,0.2366,0.9449,22.8791,0.108916,0.045008,0.27625,0.144341,0.080433,0.20571,0.066247,0.002339,-0.042669,-0.035425000000000005,-0.0072439999999999935
Ac4_rdkit_conf_1,18,0.49649,0.7564,26.1047,0.357245,0.178579,0.51994,0.383739,0.205073,0.46597,0.318209,0.139543,-0.03903599999999999,-0.026494000000000018,-0.01254199999999997
