File,atom1,atom2,bonding
Ac2_rdkit_conf_1,8,0,0.0001
Ac2_rdkit_conf_1,8,1,0.0013
Ac2_rdkit_conf_1,8,2,0.0001
Ac2_rdkit_conf_1,8,3,0.0002
Ac2_rdkit_conf_1,8,4,0.0105
Ac2_rdkit_conf_1,8,5,0.0071
Ac2_rdkit_conf_1,8,6,0.0041
Ac2_rdkit_conf_1,8,7,1.0006
Ac2_rdkit_conf_1,9,0,0.0001
Ac2_rdkit_conf_1,9,1,0.0001
Ac2_rdkit_conf_1,9,2,0.0001
Ac2_rdkit_conf_1,9,3,0.0000
Ac2_rdkit_conf_1,9,4,0.0021
Ac2_rdkit_conf_1,9,5,0.0052
Ac2_rdkit_conf_1,9,6,0.0044
Ac2_rdkit_conf_1,9,7,0.0258
Ac2_rdkit_conf_1,9,8,0.9472
Ac2_rdkit_conf_1,10,0,0.0000
Ac2_rdkit_conf_1,10,1,0.0001
Ac2_rdkit_conf_1,10,2,0.0000
Ac2_rdkit_conf_1,10,3,0.0000
Ac2_rdkit_conf_1,10,4,0.0007
Ac2_rdkit_conf_1,10,5,0.0019
Ac2_rdkit_conf_1,10,6,0.0010
Ac2_rdkit_conf_1,10,7,0.0094
Ac2_rdkit_conf_1,10,8,0.0578
Ac2_rdkit_conf_1,10,9,1.7841
Ac2_rdkit_conf_1,11,0,0.0001
Ac2_rdkit_conf_1,11,1,0.0000
Ac2_rdkit_conf_1,11,2,0.0000
Ac2_rdkit_conf_1,11,3,0.0000
Ac2_rdkit_conf_1,11,4,0.0002
Ac2_rdkit_conf_1,11,5,0.0011
Ac2_rdkit_conf_1,11,6,0.0008
Ac2_rdkit_conf_1,11,7,0.0022
Ac2_rdkit_conf_1,11,8,0.0151
Ac2_rdkit_conf_1,11,9,1.0499
Ac2_rdkit_conf_1,11,10,0.1548
Ac2_rdkit_conf_1,12,8,0.0001
Ac2_rdkit_conf_1,12,9,0.0000
Ac2_rdkit_conf_1,12,10,0.0000
Ac2_rdkit_conf_1,12,11,0.0000
Ac2_rdkit_conf_1,13,8,0.0000
Ac2_rdkit_conf_1,13,9,0.0000
Ac2_rdkit_conf_1,13,10,0.0000
Ac2_rdkit_conf_1,13,11,0.0000
Ac2_rdkit_conf_1,14,8,0.0000
Ac2_rdkit_conf_1,14,9,0.0000
