species,atom1,atom2,wiberg_bond_order,bond_length
Ac4_rdkit_conf_1,1,0,0.9305,1.4102497745466933
Ac4_rdkit_conf_1,2,0,0.0101,2.367844577763076
Ac4_rdkit_conf_1,2,1,1.0626,1.3415427995777847
Ac4_rdkit_conf_1,3,0,0.0028,2.7774721679615437
Ac4_rdkit_conf_1,3,1,0.0647,2.4042531107859673
Ac4_rdkit_conf_1,3,2,1.3718,1.3957563274766123
Ac4_rdkit_conf_1,4,0,0.0010,4.163285445005423
Ac4_rdkit_conf_1,4,1,0.0087,3.6571288551005416
Ac4_rdkit_conf_1,4,2,0.0121,2.413934023615807
Ac4_rdkit_conf_1,4,3,1.4398,1.38602292735041
Ac4_rdkit_conf_1,5,0,0.0003,5.003748588462354
Ac4_rdkit_conf_1,5,1,0.0207,4.143855011704198
Ac4_rdkit_conf_1,5,2,0.0905,2.803016384391822
Ac4_rdkit_conf_1,5,3,0.0125,2.4105430619854107
Ac4_rdkit_conf_1,5,4,1.4310,1.3855272824340197
Ac4_rdkit_conf_1,6,0,0.0010,4.7833903613768545
Ac4_rdkit_conf_1,6,1,0.0066,3.6256665083327784
Ac4_rdkit_conf_1,6,2,0.0114,2.415651305843002
Ac4_rdkit_conf_1,6,3,0.1031,2.7663624843230505
Ac4_rdkit_conf_1,6,4,0.0111,2.385679358888575
Ac4_rdkit_conf_1,6,5,1.4414,1.3840564074639443
Ac4_rdkit_conf_1,7,0,0.0127,3.6527465128138856
Ac4_rdkit_conf_1,7,1,0.0439,2.3581245198443193
Ac4_rdkit_conf_1,7,2,1.3032,1.4094248231842663
Ac4_rdkit_conf_1,7,3,0.0098,2.418775255002209
Ac4_rdkit_conf_1,7,4,0.1000,2.783669349359223
Ac4_rdkit_conf_1,7,5,0.0117,2.423459549343665
Ac4_rdkit_conf_1,7,6,1.4081,1.3927578656941775
Ac4_rdkit_conf_1,8,0,0.0006,4.223643854740715
Ac4_rdkit_conf_1,8,1,0.0046,2.814258835766533
Ac4_rdkit_conf_1,8,2,0.0088,2.5252350335113363
Ac4_rdkit_conf_1,8,3,0.0071,3.792904429493841
Ac4_rdkit_conf_1,8,4,0.0058,4.269491735833084
Ac4_rdkit_conf_1,8,5,0.0094,3.77269461453031
Ac4_rdkit_conf_1,8,6,0.0124,2.48775106074382
Ac4_rdkit_conf_1,8,7,1.0030,1.4862677819292862
Ac4_rdkit_conf_1,9,0,0.0014,3.976068324398991
Ac4_rdkit_conf_1,9,1,0.0057,2.671642124447434
Ac4_rdkit_conf_1,9,2,0.0163,2.957939439910324
Ac4_rdkit_conf_1,9,3,0.0007,4.3438962627707856
Ac4_rdkit_conf_1,9,4,0.0116,5.094710189720413
Ac4_rdkit_conf_1,9,5,0.0025,4.813925737362595
Ac4_rdkit_conf_1,9,6,0.0265,3.612034719365527
Ac4_rdkit_conf_1,9,7,0.0553,2.4067822973607313
Ac4_rdkit_conf_1,9,8,1.7666,1.1985309948073932
Ac4_rdkit_conf_1,10,0,0.0003,5.550818536009441
Ac4_rdkit_conf_1,10,1,0.0014,4.1418733564092705
Ac4_rdkit_conf_1,10,2,0.0092,3.666713667862545
