species,atom,npa_charge,wiberg_total,nmr_shielding,cm5_charge,hirshfeld_charge,ox_npa_charge,ox_cm5_charge,ox_hirshfeld_charge,red_npa_charge,red_cm5_charge,red_hirshfeld_charge,fukui_plus,fukui_minus,fukui_rad
Ac4_rdkit_conf_1,8,0.7775,3.8456,8.7587,0.259267,0.203492,0.74971,0.275267,0.219492,0.68952,0.16892,0.113144,-0.09034800000000001,-0.015999999999999986,-0.07434800000000003
Ac4_rdkit_conf_1,9,-0.57121,2.0407,-149.4832,-0.327498,-0.280097,-0.50897,-0.2771,-0.229699,-0.70257,-0.442114,-0.394713,-0.114616,-0.050398,-0.064218
Ac4_rdkit_conf_1,10,-0.69686,1.942,115.8028,-0.381336,-0.182091,-0.67676,-0.356778,-0.157533,-0.7332,-0.428152,-0.228906,-0.046814999999999996,-0.024557999999999996,-0.022257
Ac4_rdkit_conf_3,8,0.78645,3.8397,4.2490,0.266176,0.210603,0.75973,0.279335,0.223763,0.6874,0.169686,0.114114,-0.09648900000000002,-0.013159999999999977,-0.08332900000000004
Ac4_rdkit_conf_3,9,-0.59394,2.0154,-129.7155,-0.333293,-0.282048,-0.52493,-0.278354,-0.22711,-0.72679,-0.448247,-0.397003,-0.11495499999999997,-0.054938000000000015,-0.06001699999999996
Ac4_rdkit_conf_3,10,-0.6766,1.9736,112.7618,-0.360905,-0.163967,-0.66729,-0.344986,-0.148048,-0.71873,-0.41265,-0.215712,-0.051744999999999985,-0.01591899999999999,-0.035826
Ac4_rdkit_conf_2,8,0.78413,3.8424,4.1590,0.261759,0.20623,0.75402,0.277187,0.221658,0.69393,0.169988,0.114459,-0.09177099999999999,-0.015427999999999997,-0.076343
Ac4_rdkit_conf_2,9,-0.60694,2.0016,-116.4169,-0.341144,-0.288714,-0.52952,-0.280244,-0.227814,-0.73303,-0.449068,-0.396639,-0.107925,-0.06090000000000004,-0.047024999999999956
Ac4_rdkit_conf_2,10,-0.66191,1.9904,108.7547,-0.367158,-0.174029,-0.65527,-0.351961,-0.158833,-0.70339,-0.420497,-0.227368,-0.053339,-0.015195999999999987,-0.03814300000000001
Ac5_rdkit_conf_1,3,0.81452,3.8216,-8.5767,0.266485,0.21433,0.79536,0.273407,0.221252,0.80516,0.250849,0.198694,-0.015635999999999983,-0.0069220000000000115,-0.008713999999999972
Ac5_rdkit_conf_1,4,-0.59755,2.0206,-146.4434,-0.32869,-0.274675,-0.5369,-0.282261,-0.228246,-0.64573,-0.370783,-0.316768,-0.04209299999999999,-0.046429,0.0043360000000000065
Ac5_rdkit_conf_1,5,-0.68799,1.9654,114.9468,-0.370436,-0.171597,-0.67774,-0.355426,-0.156587,-0.69346,-0.38451,-0.185672,-0.014075000000000004,-0.015009999999999996,0.0009349999999999914
Ac5_rdkit_conf_2,3,0.80773,3.8237,-9.0503,0.266321,0.214162,0.80256,0.272657,0.220498,0.79648,0.252189,0.20003,-0.014131999999999978,-0.006336000000000008,-0.00779599999999997
Ac5_rdkit_conf_2,4,-0.58401,2.0352,-156.4288,-0.324794,-0.273989,-0.56683,-0.305818,-0.255013,-0.60017,-0.34516,-0.294355,-0.020365999999999995,-0.018975999999999993,-0.0013900000000000023
Ac5_rdkit_conf_2,5,-0.6979,1.9515,114.3354,-0.373952,-0.172383,-0.67845,-0.352166,-0.150597,-0.71791,-0.398293,-0.196724,-0.024341,-0.021786,-0.0025550000000000017
Ac5_rdkit_conf_3,3,0.81237,3.8202,-6.4488,0.267833,0.215238,0.79749,0.279283,0.226689,0.73848,0.214148,0.161554,-0.05368400000000001,-0.011450999999999989,-0.04223300000000002
Ac5_rdkit_conf_3,4,-0.59099,2.0276,-142.3818,-0.32713,-0.274458,-0.51674,-0.27119,-0.218517,-0.68043,-0.405998,-0.353326,-0.078868,-0.05594099999999999,-0.022927000000000003
Ac5_rdkit_conf_3,5,-0.69684,1.9538,115.2613,-0.367997,-0.165794,-0.68538,-0.351625,-0.149422,-0.71766,-0.397942,-0.195739,-0.029945,-0.016371999999999998,-0.013573000000000002
Ac2_rdkit_conf_4,9,0.78989,3.8321,-1.6468,0.273672,0.219839,0.76982,0.283075,0.229241,0.41527,0.032732,-0.021102,-0.24094100000000002,-0.009401999999999994,-0.23153900000000002
Ac2_rdkit_conf_4,10,-0.59656,2.0171,-134.5123,-0.323982,-0.271608,-0.55335,-0.285741,-0.233367,-0.83088,-0.552902,-0.500528,-0.22891999999999996,-0.038241000000000025,-0.19067899999999993
Ac2_rdkit_conf_4,11,-0.67435,1.9754,120.9717,-0.369691,-0.1713,-0.64595,-0.337109,-0.138717,-0.76239,-0.481988,-0.283596,-0.112296,-0.032583,-0.079713
Ac2_rdkit_conf_1,9,0.78308,3.8305,-1.2955,0.264049,0.210377,0.79266,0.314902,0.26123,0.7686,0.223831,0.170159,-0.040218000000000004,-0.05085300000000001,0.010635000000000006
Ac2_rdkit_conf_1,10,-0.5867,2.0299,-138.4408,-0.334814,-0.284018,-0.39704,-0.190222,-0.139426,-0.63511,-0.385844,-0.335048,-0.05103000000000002,-0.144592,0.09356199999999998
