species,atom1,atom2,wiberg_bond_order,bond_length
Ac4_rdkit_conf_1,8,0,0.0006,4.223643854740715
Ac4_rdkit_conf_1,8,1,0.0046,2.814258835766533
Ac4_rdkit_conf_1,8,2,0.0088,2.5252350335113363
Ac4_rdkit_conf_1,8,3,0.0071,3.792904429493841
Ac4_rdkit_conf_1,8,4,0.0058,4.269491735833084
Ac4_rdkit_conf_1,8,5,0.0094,3.77269461453031
Ac4_rdkit_conf_1,8,6,0.0124,2.48775106074382
Ac4_rdkit_conf_1,8,7,1.0030,1.4862677819292862
Ac4_rdkit_conf_1,9,0,0.0014,3.976068324398991
Ac4_rdkit_conf_1,9,1,0.0057,2.671642124447434
Ac4_rdkit_conf_1,9,2,0.0163,2.957939439910324
Ac4_rdkit_conf_1,9,3,0.0007,4.3438962627707856
Ac4_rdkit_conf_1,9,4,0.0116,5.094710189720413
Ac4_rdkit_conf_1,9,5,0.0025,4.813925737362595
Ac4_rdkit_conf_1,9,6,0.0265,3.612034719365527
Ac4_rdkit_conf_1,9,7,0.0553,2.4067822973607313
Ac4_rdkit_conf_1,9,8,1.7666,1.1985309948073932
Ac4_rdkit_conf_1,10,0,0.0003,5.550818536009441
Ac4_rdkit_conf_1,10,1,0.0014,4.1418733564092705
Ac4_rdkit_conf_1,10,2,0.0092,3.666713667862545
Ac4_rdkit_conf_1,10,3,0.0004,4.768010073326712
Ac4_rdkit_conf_1,10,4,0.0025,4.920047356110102
Ac4_rdkit_conf_1,10,5,0.0013,4.066606114815277
Ac4_rdkit_conf_1,10,6,0.0053,2.6851619304595022
Ac4_rdkit_conf_1,10,7,0.0161,2.3547875357156958
Ac4_rdkit_conf_1,10,8,1.0220,1.3551951872468406
Ac4_rdkit_conf_1,10,9,0.1473,2.224891505475941
Ac4_rdkit_conf_1,11,8,0.0002,4.7402009157018865
Ac4_rdkit_conf_1,11,9,0.0001,4.56491566117809
Ac4_rdkit_conf_1,11,10,0.0001,6.055481134916532
Ac4_rdkit_conf_1,12,8,0.0001,4.746275129720253
Ac4_rdkit_conf_1,12,9,0.0002,4.64264697116731
Ac4_rdkit_conf_1,12,10,0.0000,5.999199055170783
Ac4_rdkit_conf_1,13,8,0.0000,4.611018804351268
Ac4_rdkit_conf_1,13,9,0.0001,4.083334488306952
Ac4_rdkit_conf_1,13,10,0.0000,5.951843250757365
Ac4_rdkit_conf_1,14,8,0.0004,4.672960587313999
Ac4_rdkit_conf_1,14,9,0.0000,5.0438802739736
Ac4_rdkit_conf_1,14,10,0.0003,5.747334442209101
Ac4_rdkit_conf_1,15,8,0.0004,5.352144660291797
Ac4_rdkit_conf_1,15,9,0.0000,6.161236965289843
Ac4_rdkit_conf_1,15,10,0.0000,5.973564148384195
Ac4_rdkit_conf_1,16,8,0.0002,4.6309400300069745
Ac4_rdkit_conf_1,16,9,0.0004,5.737393841412056
Ac4_rdkit_conf_1,16,10,0.0000,4.680447805896568
Ac4_rdkit_conf_1,17,8,0.0027,2.6591997256693602
Ac4_rdkit_conf_1,17,9,0.0007,3.8502993853120047
Ac4_rdkit_conf_1,17,10,0.0010,2.288530818322751
Ac4_rdkit_conf_1,18,8,0.0013,1.8675815245225573
