File,atom,nbo_charge,bond_order,nmr_shielding,neut_nat,neut_cm5,neut_mulliken,neut_hirsfeld,ox_nat,ox_cm5,ox_mulliken,ox_hirsfeld,red_nat,red_cm5,red_mulliken,red_hirsfeld
Ac2_rdkit_conf_1,8,-0.32847,3.8727,140.2353,-0.32847,-0.034808,-0.215404,0.000932,-0.36421,0.008855,-0.226507,0.044594,-0.3596,-0.073779,0.246894,-0.03804
Ac2_rdkit_conf_1,9,0.78308,3.8305,-1.2955,0.78308,0.264049,0.345348,0.210377,0.79266,0.314902,0.369407,0.26123,0.7686,0.223831,-0.022848,0.170159
Ac2_rdkit_conf_1,10,-0.5867,2.0299,-138.4408,-0.5867,-0.334814,-0.315448,-0.284018,-0.39704,-0.190222,-0.154095,-0.139426,-0.63511,-0.385844,-0.333473,-0.335048
Ac2_rdkit_conf_1,11,-0.68706,1.9656,112.8534,-0.68706,-0.370356,-0.407103,-0.175881,-0.64786,-0.324456,-0.368109,-0.129982,-0.70308,-0.42291,-0.259857,-0.228435
Ac2_rdkit_conf_3,8,-0.3323,3.8734,141.7076,,,,,,,,,,,,
Ac2_rdkit_conf_3,9,0.78146,3.8287,-2.1872,,,,,,,,,,,,
Ac2_rdkit_conf_3,10,-0.58784,2.0291,-140.8976,,,,,,,,,,,,
Ac2_rdkit_conf_3,11,-0.68385,1.9653,123.4272,,,,,,,,,,,,
Ac5_rdkit_conf_3,1,-0.17005,4.0145,137.2433,-0.17005,-0.003898,-0.095385,0.01417,-0.20003,0.004986,-0.127588,0.023054,-0.14701,-0.018165,-0.061394,-9.7e-05
Ac5_rdkit_conf_3,3,0.81237,3.8202,-6.4488,0.81237,0.267833,0.358499,0.215238,0.79749,0.279283,0.365679,0.226689,0.73848,0.214148,0.306904,0.161554
Ac5_rdkit_conf_3,4,-0.59099,2.0276,-142.3818,-0.59099,-0.32713,-0.313732,-0.274458,-0.51674,-0.27119,-0.244724,-0.218517,-0.68043,-0.405998,-0.396523,-0.353326
Ac5_rdkit_conf_3,5,-0.69684,1.9538,115.2613,-0.69684,-0.367997,-0.420682,-0.165794,-0.68538,-0.351625,-0.405587,-0.149422,-0.71766,-0.397942,-0.440292,-0.195739
Ac7_rdkit_conf_1,0,-0.60004,2.0163,-158.1231,-0.60004,-0.328833,-0.319727,-0.273962,-0.14581,-0.005718,0.014297,0.049153,-0.74184,-0.456808,-0.446544,-0.401938
Ac7_rdkit_conf_1,1,0.8011,3.8237,-6.3576,0.8011,0.264272,0.298616,0.215384,0.80533,0.355803,0.358352,0.306915,0.64028,0.151023,0.161253,0.102135
Ac7_rdkit_conf_1,2,-0.69428,1.9553,111.5659,-0.69428,-0.37723,-0.413396,-0.176558,-0.56514,-0.262174,-0.282737,-0.061503,-0.73772,-0.436745,-0.463367,-0.236073
Ac7_rdkit_conf_1,3,-0.32837,3.9655,143.7398,-0.32837,-0.079134,-0.113675,-0.019835,-0.28128,-0.038743,-0.084615,0.020556,-0.33704,-0.122368,0.228434,-0.063069
