      Step     Time          Energy         fmax
BFGS:    0 15:28:23     -232.862287        2.8567
BFGS:    1 15:29:56     -232.702879        4.8594
BFGS:    2 15:31:29     -233.085530        0.6618
BFGS:    3 15:32:45     -233.109991        0.4228
BFGS:    4 15:34:00     -233.125432        0.9154
BFGS:    5 15:35:15     -233.136254        0.4591
BFGS:    6 15:36:16     -233.144857        0.3440
BFGS:    7 15:37:45     -233.173315        0.7073
BFGS:    8 15:39:00     -233.187294        0.7098
BFGS:    9 15:40:06     -233.201171        0.3466
BFGS:   10 15:41:16     -233.215113        0.5902
BFGS:   11 15:42:21     -233.224028        0.7011
BFGS:   12 15:43:36     -233.233794        0.6320
BFGS:   13 15:44:41     -233.243196        0.2818
BFGS:   14 15:46:00     -233.253681        0.5167
BFGS:   15 15:47:14     -233.261086        0.4070
BFGS:   16 15:48:24     -233.264731        0.1471
BFGS:   17 15:49:30     -233.268771        0.2338
BFGS:   18 15:50:35     -233.272413        0.3268
BFGS:   19 15:51:45     -233.275969        0.2896
BFGS:   20 15:52:51     -233.279271        0.1785
BFGS:   21 15:54:01     -233.284352        0.3150
BFGS:   22 15:55:19     -233.291464        0.5987
BFGS:   23 15:56:31     -233.298613        0.5995
BFGS:   24 15:57:39     -233.305542        0.3028
BFGS:   25 15:58:31     -233.307849        0.1576
BFGS:   26 15:59:30     -233.310026        0.2626
BFGS:   27 16:00:37     -233.312971        0.3703
BFGS:   28 16:01:49     -233.316605        0.3186
BFGS:   29 16:02:56     -233.318970        0.1380
BFGS:   30 16:04:03     -233.320836        0.1215
BFGS:   31 16:05:15     -233.322557        0.2096
BFGS:   32 16:06:27     -233.324901        0.2332
BFGS:   33 16:07:47     -233.327735        0.1571
BFGS:   34 16:09:06     -233.330033        0.1216
BFGS:   35 16:10:19     -233.332475        0.1630
BFGS:   36 16:11:33     -233.334991        0.2092
BFGS:   37 16:12:45     -233.338019        0.1893
BFGS:   38 16:13:49     -233.341099        0.1630
BFGS:   39 16:15:06     -233.343847        0.2289
BFGS:   40 16:16:08     -233.346196        0.2336
BFGS:   41 16:17:25     -233.350923        0.1981
BFGS:   42 16:18:27     -233.353414        0.1954
BFGS:   43 16:19:33     -233.355968        0.1347
BFGS:   44 16:20:36     -233.357483        0.1213
BFGS:   45 16:21:47     -233.358995        0.1128
BFGS:   46 16:22:41     -233.359775        0.0835
      Step     Time          Energy         fmax
BFGS:    0 14:12:20     -232.862287        2.8567
BFGS:    1 14:13:48     -232.702879        4.8594
BFGS:    2 14:15:17     -233.085530        0.6618
BFGS:    3 14:16:31     -233.109991        0.4228
BFGS:    4 14:17:44     -233.125432        0.9154
BFGS:    5 14:18:55     -233.136254        0.4591
BFGS:    6 14:19:56     -233.144857        0.3440
BFGS:    7 14:21:22     -233.173315        0.7073
BFGS:    8 14:22:33     -233.187294        0.7098
BFGS:    9 14:23:38     -233.201171        0.3466
BFGS:   10 14:24:47     -233.215113        0.5902
BFGS:   11 14:25:50     -233.224028        0.7011
BFGS:   12 14:27:04     -233.233794        0.6320
BFGS:   13 14:28:07     -233.243196        0.2818
BFGS:   14 14:29:25     -233.253681        0.5167
BFGS:   15 14:30:40     -233.261086        0.4070
BFGS:   16 14:31:47     -233.264731        0.1471
BFGS:   17 14:32:50     -233.268771        0.2338
BFGS:   18 14:33:56     -233.272413        0.3268
BFGS:   19 14:35:04     -233.275969        0.2896
BFGS:   20 14:36:06     -233.279271        0.1785
BFGS:   21 14:37:17     -233.284352        0.3150
BFGS:   22 14:38:35     -233.291464        0.5987
BFGS:   23 14:39:41     -233.298613        0.5995
BFGS:   24 14:40:47     -233.305542        0.3028
BFGS:   25 14:41:40     -233.307849        0.1576
BFGS:   26 14:42:33     -233.310026        0.2626
BFGS:   27 14:43:36     -233.312971        0.3703
BFGS:   28 14:44:47     -233.316605        0.3186
BFGS:   29 14:45:50     -233.318970        0.1380
BFGS:   30 14:46:52     -233.320836        0.1215
BFGS:   31 14:47:58     -233.322557        0.2096
BFGS:   32 14:49:07     -233.324901        0.2332
BFGS:   33 14:50:18     -233.327735        0.1571
BFGS:   34 14:51:33     -233.330033        0.1216
BFGS:   35 14:52:41     -233.332475        0.1630
BFGS:   36 14:53:48     -233.334991        0.2092
BFGS:   37 14:54:57     -233.338019        0.1893
BFGS:   38 14:55:59     -233.341099        0.1630
BFGS:   39 14:57:09     -233.343847        0.2289
BFGS:   40 14:58:07     -233.346196        0.2336
BFGS:   41 14:59:24     -233.350923        0.1981
BFGS:   42 15:00:22     -233.353414        0.1954
BFGS:   43 15:01:24     -233.355968        0.1347
BFGS:   44 15:02:27     -233.357483        0.1213
BFGS:   45 15:03:34     -233.358995        0.1128
BFGS:   46 15:04:23     -233.359775        0.0835
